"","SampleID","CollectionDate","Location","Latitude","Longitude","SnowColor","CellDensity","Astaxanthin","Lutein","ChlA","ChlB","BetaC","Pheophorbide","Pheophytin"
"101","2023-8-23-LC-algae3","8/23/2023","Lemon Creek Glacier",58.367561,-134.36052,"algae-free",3670,1.156,0,22.503,3.907,1.195,0,14.607
"102","2023-8-23-LC-algae4","8/23/2023","Lemon Creek Glacier",58.366583,-134.357281,"red",25957,43.266,37.345,188.259,55.864,9.572,1.296,61.806
"103","2023-8-23-LC-algae5","8/23/2023","Lemon Creek Glacier",58.366109,-134.357581,"algae-free",6262,40.811,43.808,160.373,44.368,13.215,1.103,56.8
"104","2023-8-23-LC-algae6","8/23/2023","Lemon Creek Glacier",58.36666,-134.353733,"red",8058,56.82,34.345,129.393,35.606,20.121,1.443,48.807
"105","2023-8-23-LC-algae7","8/23/2023","Lemon Creek Glacier",58.367326,-134.353054,"red",69084,131.402,181.779,517.989,139.068,96.417,9.69,146.888
"106","2023-8-23-LC-algae8","8/23/2023","Lemon Creek Glacier",58.366473,-134.349711,"algae-free",1656,24.462,14.809,68.153,20.008,3.836,1.361,30.68
"107","2023-8-23-LC-algae9","8/23/2023","Lemon Creek Glacier",58.364669,-134.352659,"red",23466,92.004,76.149,223.655,60.147,95.359,1.914,47.265
"108","2023-8-23-LC-algae10","8/23/2023","Lemon Creek Glacier",58.364653,-134.356496,"algae-free",8383,13.579,3.84,51.426,15.991,2.245,2.443,11.3
"109","2023-8-23-LC-algae11","8/23/2023","Lemon Creek Glacier",58.370121,-134.355217,"algae-free",943,1.71,0,17.905,4.452,2.136,1.196,5.263
"110","2023-8-23-LC-algae12","8/23/2023","Lemon Creek Glacier",58.367151,-134.340015,"algae-free",2693,1.438,0.139,16.742,8.346,1.762,1.289,5.507
"111","2023-8-23-LC-algae13","8/23/2023","Lemon Creek Glacier",58.36796,-134.338427,"red",8080,14.719,4.263,15.125,7.37,1.503,0.266,3.33
"112","2023-8-23-LC-algae14","8/23/2023","Lemon Creek Glacier",58.363704,-134.34213,"red",3569,11.074,12.967,41.103,23.152,1.084,0.953,9.624
"113","2023-8-23-LC-algae15","8/23/2023","Lemon Creek Glacier",58.364091,-134.353737,"algae-free",1532,15.356,20.879,41.35,26.411,8.974,0.748,11.965
"114","2023-8-23-LC-algae16","8/23/2023","Lemon Creek Glacier",58.36366,-134.361872,"algae-free",2020,8.5,10.319,36.229,19.064,4.272,0.8,8.922
"115","2023-8-24-LC-algae17","8/24/2023","Lemon Creek Glacier",58.372902,-134.337907,"algae-free",3619,20.511,21.068,59.909,30.588,6.247,2.732,14.663
"116","2023-8-24-LC-algae18","8/24/2023","Lemon Creek Glacier",58.372259,-134.338526,"red",2845,37.835,40.542,106.613,44.373,6.198,3.19,25.327
"117","2023-8-24-LC-algae19","8/24/2023","Lemon Creek Glacier",58.372672,-134.344596,"red",6447,18.864,17.055,33.838,18.997,4.346,1.402,9.277
"118","2023-8-24-LC-algae20","8/24/2023","Lemon Creek Glacier",58.371045,-134.345242,"algae-free",4612,32.589,36.335,73.299,43.931,8.864,2.623,22.101
"119","2023-8-24-LC-algae21","8/24/2023","Lemon Creek Glacier",58.370149,-134.344857,"algae-free",6043,9.048,19.568,52.535,29.147,2.568,3.28,19.014
"120","2023-8-24-LC-algae22","8/24/2023","Lemon Creek Glacier",58.370113,-134.34743,"algae-free",5269,28.194,9.205,24.441,11.852,7.318,4.466,5.607
"121","2023-8-24-LC-algae23","8/24/2023","Lemon Creek Glacier",58.369898,-134.349323,"algae-free",724,4.688,2.682,5.395,2.848,1.736,1.305,1.009
"122","2023-8-24-LC-algae24","8/24/2023","Lemon Creek Glacier",58.370853,-134.350767,"red",15386,9.621,11.268,21.914,12.614,4.611,4.721,5.422
"123","2023-8-24-LC-algae25","8/24/2023","Lemon Creek Glacier",58.371774,-134.352674,"algae-free",1986,1.003,0.858,9.802,3.772,3.786,3.688,0
"124","2023-8-24-LC-algae26","8/24/2023","Lemon Creek Glacier",58.363088,-134.356918,"red",13686,44.868,46.582,86.566,29.897,13.64,2.824,31.853
"125","2023-8-24-LC-algae27","8/24/2023","Lemon Creek Glacier",58.362613,-134.357149,"red",8349,43.334,43.068,101.557,22.074,16.221,4.998,33.852
"126","2023-8-24-LC-algae28","8/24/2023","Lemon Creek Glacier",58.360915,-134.35171,"algae-free",707,1.489,0.888,1.554,0.387,5.987,0,5.073
"127","2023-8-24-LC-algae29","8/24/2023","Lemon Creek Glacier",58.362939,-134.349691,"algae-free",320,15.098,16.468,31.16,18.701,10.344,10.956,12.677
"128","2023-8-24-LC-algae30","8/24/2023","Lemon Creek Glacier",58.36236781,-134.3557705,"red",349258,557.411,299.922,444.636,439.727,63.528,44.087,230.872
"129","2023-8-24-LC-algae31","8/24/2023","Lemon Creek Glacier",58.3623368,-134.355794,"red",138152,225.921,189.01,237.451,168.048,24.175,26.675,121.947
"130","2023-8-24-LC-algae32","8/24/2023","Lemon Creek Glacier",58.36221304,-134.3555946,"red",267953,272.704,173.241,313.112,260.389,51.607,6.299,229.859
"131","2023-8-24-LC-algae33","8/24/2023","Lemon Creek Glacier",58.36216446,-134.3556537,"red",302369,170.498,145.485,333.927,232.905,46.424,0.569,133.062
"132","2023-8-24-LC-algae34","8/24/2023","Lemon Creek Glacier",58.36216351,-134.3555242,"red",40720,86.606,38.631,158.402,113.685,28.504,8.357,129.737
"133","2023-8-24-LC-algae35","8/24/2023","Lemon Creek Glacier",58.36217764,-134.3552129,"red",352153,376.152,384.258,775.216,477.381,73.982,16.051,255.414
"134","2023-8-24-LC-algae36","8/24/2023","Lemon Creek Glacier",58.36205116,-134.3549763,"red",90004,75.834,68.893,153.042,136.167,17.846,0.553,68.753
"135","2023-8-24-LC-algae37","8/24/2023","Lemon Creek Glacier",58.3619559,-134.3548812,"red",144935,105.384,148.229,543.203,264.172,8.421,1.229,225.337
"136","2023-8-24-LC-algae38","8/24/2023","Lemon Creek Glacier",58.36198771,-134.3547865,"red",174754,125.591,83.5,267.002,160.627,5.492,0,163.754
"137","2023-8-24-LC-algae39","8/24/2023","Lemon Creek Glacier",58.36195065,-134.3546386,"red",44137,73.014,15.71,170.129,117.262,2.533,0,138.669
"138","2023-8-24-LC-algae40","8/24/2023","Lemon Creek Glacier",58.36196387,-134.3545247,"red",141992,114.731,82.158,380.192,166.171,14.18,0.421,165.672
"139","2023-8-24-LC-algae41","8/24/2023","Lemon Creek Glacier",58.36192722,-134.3544284,"red",172407,213.477,212.095,980.438,381.435,43.5,8.742,410.866
